dataset,split,n_obs,n_active,weeks,products,retailers,qty_aug_mean,qty_aug_sd,p_mean,ad_total_mean,avg_circ_mean,first_week,last_week
DataCo,train,1560,1560,104,5,3,246.95,173.27,97.06,960.49,0.018,2015-01-05,2016-12-26
DataCo,val,255,255,17,5,3,251.08,175.66,98.93,984.88,0.0258,2017-01-02,2017-04-24
DataCo,test,330,330,22,5,3,235.31,175.2,132.04,985.84,0.0287,2017-05-01,2017-09-25
Olist,train,1050,868,70,5,3,33.73,32.21,110.6,206.21,0.017,2016-10-03,2018-01-29
Olist,val,255,255,17,5,3,78.41,35.75,109.24,484.71,0.0258,2018-02-05,2018-05-28
Olist,test,195,189,13,5,3,64.66,44.43,107.44,403.19,0.0275,2018-06-04,2018-08-27
H&M,train,1140,1140,76,5,3,31555.07,34287.11,7.82,13173.55,0.0283,2018-09-17,2020-02-24
H&M,val,195,195,13,5,3,28006.56,26385.14,7.63,11589.9,0.0417,2020-03-02,2020-05-25
H&M,test,240,240,16,5,3,32051.68,29525.83,7.01,11874.65,0.0459,2020-06-01,2020-09-14
Synth-2026,train,1245,1245,83,5,3,696.51,494.9,73.88,3477.43,0.0548,2024-01-01,2025-07-28
Synth-2026,val,255,255,17,5,3,737.74,537.84,77.99,3914.83,0.0714,2025-08-04,2025-11-24
Synth-2026,test,330,330,22,5,3,695.81,488.76,79.49,3702.97,0.076,2025-12-01,2026-04-27
